,Item_Name,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Sum,Production_Rank
44,Bovine Meat,24844,25883,27027,27622,27805,29180,30031,31216,32148,32807,32405,32798,32870,34553,36566,38870,38813,39242,37755,38174,38487,38562,39130,40072,40979,42377,42342,42515,42794,43540,44464,52534,52429,53429,53797,54440,55285,55575,56300,57108,56094,57888,58206,58967,60063,61702,63429,63322,63347,64188,64058,64822,65225,2373235,27
45,Mutton & Goat Meat,4594,4630,4606,4656,4715,4912,4997,5102,5205,5208,5408,5455,5199,4988,5251,5228,5265,5380,5413,5632,5841,6054,6184,6286,6460,6616,6894,7077,7396,7719,7917,8975,9280,9386,9633,9346,9681,10007,10189,10523,10378,10571,10772,11213,11555,11740,12154,12128,12185,12327,12416,12995,13407,412555,63
46,Poultry Meat,7710,8069,8544,9106,9852,10421,11074,11476,12328,13264,13778,14859,15446,15963,16328,17517,18416,19736,21249,22356,23517,24367,25018,25476,26764,28567,31000,32674,33473,35748,38354,43710,46471,49094,52665,53822,57370,59583,62593,66024,68340,71280,73290,75827,78106,81043,85635,89920,91965,95654,99536,101909,104871,2203448,30
47,"Meat, Other",2244,2281,2286,2347,2344,2398,2449,2466,2513,2540,2589,2623,2645,2715,2717,2790,2828,2883,2931,2923,2926,2916,2983,3007,3091,2962,3047,3045,3042,3033,3113,3636,3747,3926,4155,4216,4138,4312,4346,4551,5051,4960,4923,4755,4905,5190,5463,5697,5993,6195,6306,6772,6880,192550,84
48,"Offals, Edible",4369,4582,4759,4951,5031,5254,5389,5558,5623,5799,6006,6094,6145,6378,6563,6861,6982,7141,7282,7486,7675,7753,7962,8160,8409,8527,8792,9025,9141,9644,9821,11138,11592,11943,12352,12267,12722,13048,13846,13997,13625,13900,14236,14517,14641,14883,15453,15699,15498,16175,16187,16368,16678,519558,59.5
49,"Butter, Ghee",4069,4177,4214,4256,4371,4324,4429,4491,4505,4511,4373,4415,4410,4467,4618,4760,4737,4930,5009,4945,4929,4945,5230,5316,5330,5258,5247,5232,5307,5312,5114,6730,6766,6651,6572,6460,6467,6640,6870,7167,7420,7771,7960,8087,8310,8489,8602,8606,8667,8865,9088,9512,9724,314586,70
50,Cream,896,1012,962,972,990,1011,1002,1013,1036,1041,1062,1083,1122,1151,1162,1228,1256,1331,1404,1426,1445,1510,1482,1562,1542,1527,1600,1623,1617,1616,1611,2692,2807,2563,2447,2450,2509,2519,2589,2654,2687,2739,2697,2608,2664,2845,2955,3095,3057,3008,2945,3113,3019,99061,92
51,"Fats, Animals, Raw",4862,5181,5363,5537,5495,5576,5903,6103,6017,6125,6511,6572,5875,6213,6616,6646,6786,7110,7162,7380,7427,7353,7543,7558,7979,8029,8179,8380,8464,8705,8652,9829,9907,10211,10051,9842,9934,10181,10815,11366,10653,11261,11247,11496,11120,11392,11614,11560,11619,11835,11952,11893,11948,448166,61
52,Eggs,23956,24580,24980,26272,26806,27282,28420,29176,30448,31776,32520,33372,33338,33850,34952,35714,36974,38542,39444,40568,41210,42560,43334,45844,48790,50122,51420,53934,54474,56238,59502,68928,71988,78308,81812,84494,87572,90626,94008,97014,98870,101338,103156,105258,107250,109284,112596,116498,118642,120844,122734,125678,128808,3382148,22
53,Milk - Excluding Butter,500986,503530,511170,518616,524636,536156,541360,555348,564908,560902,561636,576518,584914,587536,593180,614318,627476,647378,664188,671352,675046,685216,711970,732564,743524,748810,760532,760404,765800,778250,779982,969952,977068,985404,1002714,1008744,1015762,1028030,1053574,1065530,1087212,1117290,1140138,1159622,1190382,1229212,1262878,1283666,1305576,1336422,1370168,1413148,1423422,44513134,2
54,Freshwater Fish,3685,3855,3960,4173,4415,4534,4635,4970,5040,5195,5340,5529,5782,5914,5850,5936,6174,6191,6369,6823,7398,7678,8369,9017,9740,10736,11524,12340,13027,13802,14133,15700,17353,19070,21098,22934,23605,24234,25625,26001,27739,28325,29561,31138,33525,35864,38097,40206,42582,45732,47271,48908,49169,912186,42
55,Infant food,17,13,17,23,24,27,54,38,43,52,92,116,114,83,97,123,144,187,154,179,170,156,168,175,173,173,226,229,121,175,143,137,172,181,207,211,212,249,234,299,305,289,280,345,395,447,486,568,552,563,663,691,761,11736,109.5
56,Cereals - Excluding Beer,588894,611825,630487,651402,682604,708781,727698,747534,776142,803833,833010,849840,882063,857803,894326,898114,933244,993188,1017360,1027055,1048177,1086692,1112146,1149727,1149355,1176479,1196432,1181280,1213854,1224232,1235110,1447777,1462856,1489635,1482674,1525207,1535488,1546571,1554199,1589972,1616331,1611455,1621879,1669731,1674129,1678707,1706244,1778904,1737755,1750798,1804488,1808225,1902569,64295387,1
57,Starchy Roots,282832,288066,292242,292892,309363,325298,328907,336308,341106,357513,340157,340956,370152,365091,365046,354827,372991,390903,377450,357727,359729,364621,361357,376465,371818,367516,381941,381603,382830,394038,392804,447874,483518,466435,478752,494236,486740,503980,521703,541172,538152,542121,544555,570581,562267,542734,549618,551926,555677,572028,602338,611923,618650,22428697,4
58,Sugar Crops,28578,31117,32517,31930,28982,35222,27817,38261,36163,32673,30000,26799,29888,34318,37998,33075,34961,35277,36984,31216,34756,31749,29883,33472,37149,33838,41242,45336,49209,50255,52518,59764,56086,57957,60629,53468,59731,67623,69735,59860,52240,54058,46947,50780,48144,59268,63212,69355,66606,65544,79748,74486,71980,2411826,26
59,Sugar & Sweeteners,52390,53632,54870,57166,60277,61989,63291,64702,68640,71466,73353,74096,75989,78144,77694,81651,84775,88537,91950,91904,92454,95504,96664,102770,104006,104403,105807,106880,110213,111834,114945,127262,125108,129446,133501,136772,142731,144303,140738,144688,148651,149804,154037,153308,154108,155636,156943,160212,160768,162085,165187,170785,173433,5809112,14
60,Pulses,30919,32029,31664,30730,32645,28793,27928,29855,28938,30245,30497,29747,28753,28621,29322,30863,29759,30637,30902,29032,30928,31883,33879,34488,34634,36848,37484,38758,40031,40319,40218,43509,46762,47982,46862,47137,47733,47694,48304,47840,49453,50071,50922,51600,52357,52275,54569,52886,55390,59067,60213,60497,63654,2107207,33
61,Treenuts,2512,2483,2566,2621,2592,2695,2817,2889,2894,3086,3029,3121,3342,3273,3297,3386,3457,3456,3619,3554,3793,3891,3912,4102,4171,4119,4506,4568,4655,5137,5454,5965,6124,6223,6474,7178,7853,7639,7867,8346,8702,9394,9860,10435,11100,11901,12819,14174,14429,14876,15834,16155,16401,336234,68.5
62,Oilcrops,16550,17815,18892,20145,19281,20759,21851,21495,20966,21816,23474,21605,23567,23372,23056,21643,22820,24187,24768,24583,28556,28609,28794,32598,32991,32775,37118,38623,40233,39604,41231,42904,45179,49242,48576,49393,50195,50516,53143,55016,58855,57112,61010,67642,69255,70110,71922,71116,72163,83000,80754,83099,91383,2178812,31
63,Vegetable Oils,12852,13746,14394,15041,15871,16517,17009,17649,18285,19287,19689,20579,21203,22345,23054,24564,25476,27291,28130,30221,31538,33296,34082,35135,36792,38702,39631,41919,43355,45017,46439,49314,50155,51832,53509,54796,56633,57075,59140,61630,61942,63643,64845,67100,69888,72602,74104,74448,77069,77713,79845,80494,80306,2254340,29
64,Vegetables,179658,178938,179717,177356,182315,188422,192242,199947,203312,199089,208618,206011,213627,220476,229758,229185,238973,252083,259014,255932,269328,284236,289735,311639,324350,343690,354460,362584,372074,384057,385540,436528,462119,483456,511235,542969,555329,582230,636267,705835,731647,755876,783017,791599,812355,843601,869257,898452,921715,950541,981219,1013621,1034682,24000258,3
65,Fruits - Excluding Wine,109963,115011,116959,121612,126110,132588,139058,142618,147399,151103,154584,155915,161588,164575,168550,172982,174956,179884,188792,194920,193298,202129,206460,210542,219157,227404,236186,238854,248122,248494,252000,282689,292780,302418,313862,327911,342653,340349,358016,370738,371260,388566,398216,417261,430984,450279,464108,479066,489170,498521,517653,534472,547329,14310151,9
66,Stimulants,5224,5556,5706,5872,6029,6225,6291,6543,6582,6644,6791,7037,7078,7016,7135,7362,6843,7219,7742,7846,8044,8236,8340,8595,8767,8765,9237,9474,9583,9915,10019,10785,11044,11221,11186,11625,11963,12407,12991,13154,13807,13939,14390,14811,15412,15618,16302,16609,16041,16702,17666,18419,18773,541357,56
67,Spices,1436,1533,1669,1632,1484,1543,1639,1572,1650,1901,1869,1818,1959,1939,2058,2009,2427,2511,2459,2468,2438,2567,2699,2796,3114,3011,3109,3292,3525,3499,3524,4018,4358,4151,4160,4754,4643,5107,5253,5455,5715,5473,6327,6408,6642,6821,7289,7379,7253,7772,8717,8645,8727,204781,83
68,Alcoholic Beverages,69924,72447,75105,77976,80127,83660,86095,89075,92729,97789,101022,103738,109857,113280,116337,119972,122155,124906,129259,131978,132496,135148,135495,135136,137374,141380,146596,149054,151128,151795,155712,167353,171162,174872,179655,179189,185364,186749,190468,196329,203000,204629,206401,217392,222722,233310,244420,244373,243452,247414,256269,258895,260701,8172940,12
69,Meat,59002,61509,64876,68020,69916,73078,76205,78736,80563,83149,86275,88928,89322,92733,94694,98706,100789,104844,109336,113662,115827,116993,120034,123235,128228,132006,137101,142232,144740,149410,155022,178159,183742,189669,195309,197298,202334,210479,215775,222962,224749,231873,237737,241283,246752,255247,265033,272519,276704,284083,288486,296447,302495,8319304,11
70,Offals,4369,4582,4759,4951,5031,5254,5389,5558,5623,5799,6006,6094,6145,6378,6563,6861,6982,7141,7282,7486,7675,7753,7962,8160,8409,8527,8792,9025,9141,9644,9821,11138,11592,11943,12352,12267,12722,13048,13846,13997,13625,13900,14236,14517,14641,14883,15453,15699,15498,16175,16187,16368,16678,519558,59.5
71,Animal fats,10359,10929,11116,11361,11469,11508,11974,12325,12263,12312,12558,12683,11954,12411,13009,13174,13392,13890,14228,14529,14624,14605,14950,15240,15745,15661,15885,16062,16339,16407,16188,19939,20219,20255,19950,19526,19635,19865,20912,21851,21438,22321,22457,22781,22641,23314,23807,23818,23900,24267,24604,25137,25186,896614,43
72,"Fish, Seafood",32870,34959,36605,39042,40728,41965,44600,50079,49513,49534,50984,53731,50523,51761,53904,55515,56258,57513,59610,59075,61193,64819,65391,69530,73502,77393,82322,84911,87436,86627,86923,95399,98650,107901,112844,115610,118693,111708,117249,123538,124278,123768,124252,129988,135417,135970,138365,142913,146372,148747,152938,156248,155054,4591848,18
73,Miscellaneous,17,13,17,23,24,27,54,38,43,52,92,116,114,83,97,123,144,187,154,179,170,156,168,175,173,173,226,229,121,175,143,137,172,181,207,211,212,249,234,299,305,289,280,345,395,447,486,568,552,563,663,691,761,11736,109.5
74,Rye and products,16844,16801,16141,15752,16224,15771,15698,15588,16373,13700,15701,15896,15451,15215,14185,14069,13346,14377,13136,13070,13438,13195,14768,16033,14591,13657,13828,12607,12466,11132,10939,26734,22400,20117,19353,20539,19605,16153,16281,16359,17263,17501,13944,13798,13342,11361,12219,13718,12947,10946,10298,11201,13601,782828,48
75,Oats,35770,37182,36530,34553,34241,34220,33692,33457,33912,34435,35032,33221,32358,30462,29645,27758,26498,27672,26681,24531,25958,25246,24784,24924,24536,22809,22236,19784,19669,20377,18703,28526,28873,27780,24218,25219,26428,21940,20244,21746,23159,21116,22507,22232,20923,19418,21805,22049,20541,17154,19420,17579,20154,1348137,37
76,Sorghum and products,34325,37177,38882,38559,41507,48207,47945,48668,48842,51459,52698,48918,55513,52391,53122,51786,56339,57470,56244,49303,53876,56650,53336,59382,60059,56255,57926,53280,58366,52756,46799,56928,54972,52252,48464,60111,50292,50622,51421,49501,49272,46870,48307,48380,46370,46505,47634,50896,46775,48098,47143,47954,48961,2641443,24
77,Cassava and products,53409,55741,58430,62839,65895,65036,67832,71424,72594,74946,74329,76737,76538,78275,82925,85633,89409,95386,92803,91693,96469,101165,90302,97098,100995,101864,103203,108756,105870,118249,120644,122728,121231,123029,117569,113617,116767,117702,124050,132108,138769,138094,142396,154541,153258,165575,167553,160139,163255,168245,176274,183984,187693,5771657,15
78,Sweet potatoes,90049,96627,89305,85206,99678,110474,108989,108877,116422,125962,117425,112197,136138,132707,130711,123063,132553,140858,128039,128187,116254,119941,128032,123406,113531,111603,123891,112586,114677,113554,114360,113770,121926,116326,126261,131982,112264,125199,136576,128882,125977,126270,120793,120509,117648,97464,92440,94711,94194,92829,93878,91686,92317,5989155,13
79,"Roots, Other",4592,4839,5108,5081,5221,5369,5390,5596,5871,5949,5926,5968,6163,6277,5110,4714,4884,4719,4969,4988,4847,4830,4967,5388,5325,5658,5596,5722,5790,5525,5922,5836,8710,8852,9476,9638,10007,10604,11125,11325,11472,12086,12276,12568,12777,13109,13363,13539,13288,13386,13961,14636,14858,418604,62
80,Beans,9105,9499,9667,10072,9807,9576,10295,9804,9749,10278,10531,10165,10689,10203,10940,10034,10797,10793,10475,11587,12549,12172,13542,12641,12707,12688,12289,13387,12822,13007,13060,13692,13627,13748,13680,14794,13876,14216,14758,14892,15668,15485,17650,15888,16200,17224,18331,17902,18221,20749,20040,19727,20088,696281,51
81,Peas,4427,5157,5117,4542,4981,4423,3871,3782,4028,3603,3863,3679,3232,3330,3296,3412,3114,3404,3493,3479,3406,3416,3566,3927,4315,4862,6355,7034,6627,7547,6613,11770,12556,12599,9403,9355,10096,9777,8543,8782,9452,8804,8368,9283,9176,8724,8684,7950,8608,8553,9252,8419,9218,338846,67
82,Soyabeans,4463,4609,4995,5226,4777,6064,6295,6274,6088,6403,6875,6183,6979,6577,6502,6553,6580,6715,6787,7458,7764,7677,7697,7961,8087,8767,9701,10234,10317,10683,9728,10927,12635,13659,12277,12579,14477,12999,13181,14277,14729,14496,15749,19054,18816,19518,18056,19712,20826,26819,23857,23532,28124,596855,54
83,Groundnuts (Shelled Eq),2411,2666,2724,2947,3062,3305,3167,3318,3204,3492,3449,3400,3369,3326,3672,3415,3310,3706,3853,3606,4545,4213,4286,4597,5501,4999,5075,5253,5045,5019,5418,4987,5781,6144,6214,6565,6587,7906,7997,8185,8524,8379,8177,8305,8974,8102,8844,9669,9846,10924,10536,11418,12203,301209,72
84,Rape and Mustardseed,261,265,296,314,314,339,370,426,386,393,443,469,482,473,486,521,535,534,586,591,701,896,879,1002,1151,1230,1432,1258,1600,1689,1918,1933,1599,1881,2364,2383,1951,2193,2763,2869,3600,3258,3465,3745,2939,2571,3485,3924,5563,4982,3693,5316,7171,95627,94
