,Item_Name,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Sum,Production_Rank
102,"Aquatic Animals, Others",39,39,41,45,49,105,100,117,117,191,169,170,311,208,203,214,285,267,349,184,152,224,321,178,220,231,224,228,254,223,278,414,259,333,416,463,615,650,640,682,620,604,881,820,936,1012,979,1277,1322,1340,1382,1240,1249,23831,107
103,Aquatic Plants,502,581,577,619,699,787,837,833,940,857,1038,1226,1127,1400,1360,1410,1948,1982,1888,2070,2007,1936,2190,2363,2378,2481,2063,2493,2709,2562,3270,4365,5131,5630,5509,5681,5750,6800,7624,8002,8262,9020,9752,10726,10853,11031,11352,11710,12130,12767,13367,14508,14619,253220,78
104,"Aquatic Products, Other",540,621,618,665,748,892,937,950,1057,1046,1208,1396,1439,1608,1563,1626,2233,2248,2237,2254,2160,2160,2511,2541,2598,2712,2287,2721,2963,2785,3547,4778,5391,5962,5925,6144,6366,7449,8264,8684,8882,9623,10632,11546,11789,12042,12332,12989,13453,14108,14750,15748,15868,277056,77
105,Palm kernels,3,3,3,3,3,3,3,3,5,5,5,5,6,6,9,8,8,8,9,9,10,9,9,8,9,9,26,10,10,9,9,11,9,9,10,6,9,7,8,12,7,11,6,6,6,8,7,7,7,6,6,6,7,393,114
106,Coconut Oil,1393,1325,1403,1462,1519,1646,1623,1463,1312,1416,1515,1614,1548,1403,1560,2073,1863,1883,1492,1653,1545,1743,1688,1569,1552,1638,1638,1660,1649,1732,1560,1783,1392,1444,1865,1505,1814,1836,1899,1907,1996,2080,1958,1892,2055,2119,1996,2113,2028,2493,1981,2145,2022,90070,96
107,Cloves,3,4,5,6,6,6,5,7,4,5,5,4,6,5,7,7,8,10,7,8,9,9,8,10,11,12,10,18,13,12,19,22,19,26,22,19,23,44,14,24,24,28,46,29,35,38,40,27,39,29,32,35,46,907,113
108,Palmkernel Oil,343,250,298,316,298,252,287,254,270,262,265,267,272,311,263,246,304,293,356,307,325,319,336,419,469,565,462,534,621,636,571,584,750,686,686,708,624,725,685,755,1130,1157,1368,1443,1602,1582,1722,1848,1847,1866,1834,1880,1924,38034,103
109,Yams,5145,5108,5683,6081,6600,6951,7771,8247,9121,10094,8904,7293,7504,7820,8513,7408,7184,7164,6955,7190,7156,7295,7195,7679,7411,7945,7914,10148,10640,12971,15134,16957,18209,19664,19556,20247,21403,22035,23058,23517,23737,25221,26170,27478,27638,30502,30769,32260,34484,35898,37256,36523,37424,833085,45
110,Sunflower seed,54,70,67,41,47,60,84,77,76,93,90,146,124,113,136,158,186,276,235,292,289,332,165,275,479,462,286,515,447,541,725,948,939,1139,1195,1406,1164,1452,1474,1850,1610,2214,2175,1798,2085,1608,1452,2315,2386,2310,3144,3134,4016,48701,102
111,Cottonseed,1324,1816,2186,2238,2388,2454,2943,2645,2344,2327,2984,2183,2526,2671,2504,1916,2423,2634,2957,3002,3538,4149,4089,6380,5360,4459,6116,5992,5838,5881,6618,6247,6077,6748,7301,6833,6562,5963,6905,6226,7882,4890,7242,10399,10871,10813,11253,8507,6919,9773,12045,11208,10563,286788,75
112,Sugar non-centrifugal,9892,9274,9768,10348,11066,10966,10094,9927,11013,11054,10884,10425,10419,11999,11723,12356,13083,13672,12102,12151,13333,12600,13116,14556,13781,11933,9083,8978,10148,9551,9682,9483,7308,10251,9741,8815,10357,10371,9855,9646,9788,8497,8468,6750,7486,6956,6699,6823,8361,7825,6312,7012,7169,523058,58
113,Ricebran Oil,70,73,79,97,96,108,110,125,137,134,158,169,179,194,219,249,278,263,261,268,262,275,296,286,265,314,375,365,413,315,510,438,502,572,597,543,616,591,401,730,636,738,748,672,757,924,818,638,660,817,846,886,845,21848,108
114,"Meat, Aquatic Mammals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
